time,low,high,open,close,volume
1523318400,6676.72,6922.84,6789.53,6871.07,62035.53
1523404800,6839.16,6999.37,6871.07,6977.13,64802.3
1523491200,6791.33,8051.95,6977.04,7927.73,197276.82
1523577600,7758.8,8237.16,7927.73,7899.11,145665.26
1523664000,7841.19,8195.34,7898.74,8022.51,66678.63
1523750400,8021.04,8437.03,8022.51,8376.73,68822.07
1523836800,7929.24,8430.93,8376.73,8079.77,87681.75
1523923200,7858.12,8187.6,8079.77,7921.63,71933.6
1524009600,7908.92,8246.57,7921.65,8189.96,73050.12
1524096000,8136.42,8321.01,8189.92,8301.82,72820.98
1524182400,8243.49,8945.14,8301.82,8877.08,114730.74
1524268800,8631.18,9047.82,8877.15,8935.72,93635.24
1524355200,8788.44,9043.98,8935.85,8823.36,68212.83
1524441600,8804.2,9025.73,8823.46,8968.25,61895.95
1524528000,8957.68,9741.91,8967.86,9655.77,136352.05
1524614400,8757.06,9765.23,9657.69,8873.62,192797.41
1524700800,8669.38,9315.13,8873.57,9282.12,111690.32
1524787200,8923.48,9385.87,9289.01,8938.47,82025.4
1524873600,8892.52,9435.9,8938.47,9351.47,83347.1
1524960000,9189.07,9552.67,9349.94,9407.04,68227.03
1525046400,9133.6,9459.81,9407.35,9248.45,61631.36
1525132800,8851.1,9251.66,9248.25,9077.28,74147.8
1525219200,8993.82,9271.62,9077.28,9232.19,57618.44
1525305600,9172.28,9817.19,9232.19,9745.04,90631.98
1525392000,9547.21,9785.15,9746.26,9699.61,68689.75
1525478400,9687.09,9968.85,9700.37,9845.9,68875.75
1525564800,9441.93,9936.96,9846.44,9644.92,62904.49
1525651200,9202.13,9662.23,9643.99,9377.81,73842.44
1525737600,9063.07,9472.09,9377.08,9196.13,72659.12
1525824000,8987.27,9373.46,9196.13,9321.16,67939.11
1525910400,9017.13,9393.95,9321.52,9032.22,67915.99
1525996800,8363.5,9032.27,9032.22,8421.0,134727.27
1526083200,8225.97,8653.8,8420.82,8486.67,92805.87
1526169600,8350.91,8773.96,8488.07,8709.46,61066.94
1526256000,8312.72,8883.0,8709.46,8672.9,101370.46
1526342400,8441.25,8848.69,8672.88,8480.16,84517.8
1526428800,8119.17,8501.65,8480.16,8344.78,95203.5
1526515200,8015.77,8476.45,8342.69,8071.04,74445.77
1526601600,7940.35,8280.45,8071.04,8247.91,68665.67
1526688000,8160.8,8397.27,8247.91,8249.24,45978.21
1526774400,8181.46,8591.45,8249.24,8533.0,49694.23
1526860800,8347.88,8585.85,8533.22,8419.65,54602.79
1526947200,7962.43,8428.6,8419.67,7992.75,66032.52
1527033600,7460.66,8031.63,7992.75,7505.77,120597.47
1527120000,7283.77,7729.48,7505.77,7584.74,109709.83
1527206400,7347.96,7652.37,7584.78,7475.36,84630.56
1527292800,7314.71,7626.69,7475.36,7355.06,48994.09
1527379200,7256.67,7420.07,7355.06,7362.23,46446.45
1527465600,7092.91,7455.55,7362.23,7118.88,72505.5
1527552000,7069.01,7533.03,7118.88,7474.75,86536.7
1527638400,7295.78,7571.08,7474.75,7393.02,67797.62
1527724800,7349.52,7608.87,7393.02,7502.15,60780.47
1527811200,7370.27,7614.66,7501.74,7530.55,61082.25
1527897600,7467.79,7697.34,7530.55,7643.26,47435.99
1527984000,7606.76,7774.96,7643.26,7719.75,42988.84
1528070400,7469.21,7760.73,7719.73,7503.2,56223.86
1528156800,7394.97,7672.7,7503.32,7629.4,58424.84
1528243200,7504.98,7701.35,7629.4,7661.79,51911.42
1528329600,7651.13,7755.92,7661.79,7700.11,44318.41
1528416000,7559.5,7709.61,7700.4,7627.52,40500.95
1528502400,7495.72,7691.74,7627.56,7513.69,28511.04
1528588800,6661.98,7514.04,7513.76,6773.72,127797.43
1528675200,6652.89,6913.85,6773.72,6887.37,71169.64
1528761600,6462.61,6888.33,6887.43,6556.94,75997.29
1528848000,6140.63,6623.0,6556.94,6310.43,124304.17
1528934400,6286.23,6719.44,6310.43,6643.26,95038.67
1529020800,6380.69,6667.23,6643.63,6396.71,57731.42
1529107200,6345.99,6569.15,6396.71,6503.1,35851.38
1529193600,6446.38,6585.77,6503.1,6457.78,34359.95
